I,ID,STATUS,GL,BL
175295,1 ,1,0.0,-154.25
175296,1 ,1,0.0,-154.25
175301,1 ,1,0.0,53.0058
175302,1 ,1,0.0,53.0058
175303,1 ,1,0.0,53.0058
175304,1 ,1,0.0,-40.0
175305,1 ,1,0.0,-40.0
175306,1 ,1,0.0,-40.0
175307,1 ,1,0.0,-40.0
175308,1 ,1,0.0,-154.25
175315,1 ,1,0.0,24.5853
175316,1 ,1,0.0,24.5853
175317,1 ,1,0.0,-113.5
175318,1 ,1,0.0,-50.0
175319,1 ,1,0.0,-50.0
175321,1 ,1,0.0,2.9999
175328,1 ,1,0.0,2.4
175329,1 ,1,0.0,2.4
175331,1 ,1,0.0,7.9879
175332,1 ,1,0.0,15.9758
175335,1 ,1,0.0,-154.25
175357,1 ,1,0.0,5.9989
175359,1 ,1,0.0,-42.0
175369,1 ,1,0.0,-50.0
175370,1 ,1,0.0,-50.0
175371,1 ,1,0.0,-50.0
175372,1 ,1,0.0,-50.0
175373,1 ,1,0.0,-50.0
175374,1 ,1,0.0,-50.0
175375,1 ,1,0.0,-99.981
175376,1 ,1,0.0,-99.981
175377,1 ,1,0.0,-103.5
175378,1 ,1,0.0,-154.25
175379,1 ,1,0.0,-154.25
175380,1 ,1,0.0,-154.25
175388,1 ,1,0.0,-25.0217
175389,1 ,1,0.0,4.25
175390,1 ,1,0.0,4.25
175391,1 ,1,0.0,-114.0
175392,1 ,1,0.0,1.7999
175393,1 ,1,0.0,1.7999
175394,1 ,1,0.0,1.7999
175395,1 ,1,0.0,1.7999
175396,1 ,1,0.0,3.5993
175397,1 ,1,0.0,1.7999
175398,1 ,1,0.0,1.7999
175399,1 ,1,0.0,1.7999
175400,1 ,1,0.0,1.7999
175401,1 ,1,0.0,2.4
175402,1 ,1,0.0,2.4
175403,1 ,1,0.0,2.4
175404,1 ,1,0.0,2.4
175405,1 ,1,0.0,15.0
175406,1 ,1,0.0,21.0
175407,1 ,1,0.0,-22.0
175408,1 ,1,0.0,-15.4
175409,1 ,1,0.0,-15.0
175410,1 ,1,0.0,7.5
175411,1 ,1,0.0,7.5
175412,1 ,1,0.0,10.0
175413,1 ,1,0.0,21.0
175414,1 ,1,0.0,31.5
175416,1 ,1,0.0,3.5993
175417,1 ,1,0.0,3.0
175418,1 ,1,0.0,3.0
175419,1 ,1,0.0,3.0
175421,1 ,1,0.0,22.0
175425,1 ,1,0.0,10.0
175427,1 ,1,0.0,16.2
175435,1 ,1,0.0,-93.06
175436,1 ,1,0.0,-93.06
175444,1 ,1,0.0,-154.2
175445,1 ,1,0.0,-114.1
175461,1 ,1,0.0,-136.1
175467,1 ,1,0.0,-154.0
175473,1 ,1,0.0,3.9
175476,1 ,1,0.0,-93.06
175493,1 ,1,0.0,2.4
175494,1 ,1,0.0,2.4
175495,1 ,1,0.0,-154.25
175496,1 ,1,0.0,-154.25
175497,1 ,1,0.0,-154.25
175498,1 ,1,0.0,-154.25
175499,1 ,1,0.0,-154.25
175500,1 ,1,0.0,2.3995
175502,1 ,1,0.0,1.2
175503,1 ,1,0.0,1.2
175504,1 ,1,0.0,1.2
175505,1 ,1,0.0,1.2
175506,1 ,1,0.0,5.9989
175511,1 ,1,0.0,2.4
175512,1 ,1,0.0,2.4
175513,1 ,1,0.0,4.7991
175514,1 ,1,0.0,12.6
175515,1 ,1,0.0,1.2
175516,1 ,1,0.0,1.2
175517,1 ,1,0.0,4.0
175518,1 ,1,0.0,4.0
175519,1 ,1,0.0,2.7
175520,1 ,1,0.0,2.7
175521,1 ,1,0.0,3.6
175522,1 ,1,0.0,3.6
175523,1 ,1,0.0,3.6
175524,1 ,1,0.0,3.6
175525,1 ,1,0.0,3.6
175526,1 ,1,0.0,3.6
175527,1 ,1,0.0,3.6
175528,1 ,1,0.0,3.6
175532,1 ,1,0.0,3.5993
175533,1 ,1,0.0,3.5993
175534,1 ,1,0.0,3.5993
175535,1 ,1,0.0,3.5993
175537,1 ,1,0.0,14.3782
175538,1 ,1,0.0,30.0
175541,1 ,1,0.0,2.9994
175542,1 ,1,0.0,2.9994
175543,1 ,1,0.0,2.9994
175544,1 ,1,0.0,18.0013
175545,1 ,1,0.0,2.4
175546,1 ,1,0.0,2.4
175547,1 ,1,0.0,2.4
175548,1 ,1,0.0,2.4
175549,1 ,1,0.0,2.4
175550,1 ,1,0.0,2.4
175551,1 ,1,0.0,2.4
175552,1 ,1,0.0,2.4
175553,1 ,1,0.0,2.4
175554,1 ,1,0.0,2.4
175555,1 ,1,0.0,1.2
175556,1 ,1,0.0,1.2
175557,1 ,1,0.0,1.2
175558,1 ,1,0.0,1.2
175559,1 ,1,0.0,14.402
175560,1 ,1,0.0,14.402
175561,1 ,1,0.0,21.6007
175562,1 ,1,0.0,-34.9933
175563,1 ,1,0.0,2.4
175564,1 ,1,0.0,2.4
175565,1 ,1,0.0,2.4
175566,1 ,1,0.0,2.4
175569,1 ,1,0.0,2.4
175570,1 ,1,0.0,2.4
175571,1 ,1,0.0,2.4
175572,1 ,1,0.0,2.4
175573,1 ,1,0.0,60.0005
175584,1 ,1,0.0,7.1986
175588,1 ,1,0.0,40.0
175589,1 ,1,0.0,40.0
175590,1 ,1,0.0,40.0
175591,1 ,1,0.0,40.0
175592,1 ,1,0.0,14.402
175593,1 ,1,0.0,14.402
175594,1 ,1,0.0,14.402
175601,1 ,1,0.0,6.1226
175602,1 ,1,0.0,14.402
175603,1 ,1,0.0,3.5993
175604,1 ,1,0.0,3.5993
175605,1 ,1,0.0,1.2
175606,1 ,1,0.0,1.2
175607,1 ,1,0.0,1.2
175608,1 ,1,0.0,1.2
175609,1 ,1,0.0,3.5993
175610,1 ,1,0.0,3.5993
175611,1 ,1,0.0,20.996
175612,1 ,1,0.0,9.7005
175613,1 ,1,0.0,-75.0
175614,1 ,1,0.0,-50.0
175615,1 ,1,0.0,-75.0
175616,1 ,1,0.0,-50.0
175626,1 ,1,0.0,7.4998
175627,1 ,1,0.0,18.0013
175628,1 ,1,0.0,14.402
175629,1 ,1,0.0,3.5993
175630,1 ,1,0.0,3.5993
175631,1 ,1,0.0,14.402
175632,1 ,1,0.0,21.6007
175633,1 ,1,0.0,16.35
175637,1 ,1,0.0,-54.0374
175638,1 ,1,0.0,-53.5613
175639,1 ,1,0.0,42.9918
175640,1 ,1,0.0,42.9918
175641,1 ,1,0.0,84.5871
